@relation dataconsume

@attribute STT numeric
@attribute avg numeric

@data
2,11.85
3,11.73
4,10.97
5,10.93
6,10.94
7,10.99
8,10.9
9,10.52
10,10.55
11,10.71
12,10.58
13,10.55
14,10.44
15,10.46
16,10.31
17,10.42
18,10.38
19,10.4
20,10.28
21,10.2
22,10.06
23,9.89
24,9.91
25,9.93
26,9.86
27,9.71
28,9.56
29,9.5
30,9.54
31,9.72
32,9.75
33,9.67
34,9.64
35,9.59
36,9.62
37,9.43
38,9.32
39,9.4
40,9.41
41,9.38
42,9.36
43,9.27
44,9.1
45,9.1
46,9.25
47,9.2
48,9
49,8.86
50,9
51,9
52,8.96
53,8.98
54,8.95
55,8.9
56,8.73
57,8.81
58,8.9
59,8.24
60,8.89
61,8.95
62,8.63
63,8.63
64,8.63
65,8.52
66,8.78
67,8.79
68,8.84
69,8.74
70,8.88
71,8.91
72,9.06
73,9.43
74,9.56
75,9.67
76,9.6
77,9.42
78,9.35
79,9.38
80,9.53
81,9.19
82,9.39
83,9.28
84,9.24
85,9.31
86,9.28
87,9.28
88,9.26
89,9.2
90,9.04
91,9.03
92,8.96
93,9.06
94,9.02
95,9.03
96,8.87
97,8.92
98,9
99,8.99
100,8.69
101,9
102,8.9
