@relation klb

@attribute STT numeric
@attribute Date {3/7/2017,4/7/2017,5/7/2017,6/7/2017,7/7/2017,10/7/2017,11/7/2017,12/7/2017,13/07/2017,14/07/2017,17/07/2017,18/07/2017,19/07/2017,20/07/2017,21/07/2017,24/07/2017,25/07/2017,26/07/2017,27/07/2017,28/07/2017,31/07/2017,1/8/2017,2/8/2017,3/8/2017,4/8/2017,7/8/2017,8/8/2017,9/8/2017,10/8/2017,11/8/2017,14/08/2017,15/08/2017,16/08/2017,17/08/2017,18/08/2017,21/08/2017,22/08/2017,23/08/2017,24/08/2017,25/08/2017,28/08/2017,29/08/2017,30/08/2017,31/08/2017,1/9/2017,5/9/2017,6/9/2017,7/9/2017,8/9/2017,11/9/2017,12/9/2017,13/09/2017,14/09/2017,15/09/2017,18/09/2017,19/09/2017,20/09/2017,21/09/2017,22/09/2017,25/09/2017,26/09/2017,27/09/2017,28/09/2017,29/09/2017,2/10/2017,3/10/2017,4/10/2017,5/10/2017,6/10/2017,9/10/2017,10/10/2017,11/10/2017,12/10/2017,13/10/2017,16/10/2017,17/10/2017,18/10/2017,19/10/2017,20/10/2017,23/10/2017,24/10/2017,25/10/2017,26/10/2017,27/10/2017,30/10/2017,31/10/2017,1/11/2017,2/11/2017,3/11/2017,6/11/2017,7/11/2017,8/11/2017,9/11/2017,10/11/2017,13/11/2017,14/11/2017,15/11/2017,16/11/2017,17/11/2017,20/11/2017,21/11/2017,22/11/2017,23/11/2017}
@attribute avg numeric

@data
1,3/7/2017,11.85
2,4/7/2017,11.73
3,5/7/2017,10.97
4,6/7/2017,10.93
5,7/7/2017,10.94
6,10/7/2017,10.99
7,11/7/2017,10.9
8,12/7/2017,10.52
9,13/07/2017,10.55
10,14/07/2017,10.71
11,17/07/2017,10.58
12,18/07/2017,10.55
13,19/07/2017,10.44
14,20/07/2017,10.46
15,21/07/2017,10.31
16,24/07/2017,10.42
17,25/07/2017,10.38
18,26/07/2017,10.4
19,27/07/2017,10.28
20,28/07/2017,10.2
21,31/07/2017,10.06
22,1/8/2017,9.89
23,2/8/2017,9.91
24,3/8/2017,9.93
25,4/8/2017,9.86
26,7/8/2017,9.71
27,8/8/2017,9.56
28,9/8/2017,9.5
29,10/8/2017,9.54
30,11/8/2017,9.72
31,14/08/2017,9.75
32,15/08/2017,9.67
33,16/08/2017,9.64
34,17/08/2017,9.59
35,18/08/2017,9.62
36,21/08/2017,9.43
37,22/08/2017,9.32
38,23/08/2017,9.4
39,24/08/2017,9.41
40,25/08/2017,9.38
41,28/08/2017,9.36
42,29/08/2017,9.27
43,30/08/2017,9.1
44,31/08/2017,9.1
45,1/9/2017,9.25
46,5/9/2017,9.2
47,6/9/2017,9
48,7/9/2017,8.86
49,8/9/2017,9
50,11/9/2017,9
51,12/9/2017,8.96
52,13/09/2017,8.98
53,14/09/2017,8.95
54,15/09/2017,8.9
55,18/09/2017,8.73
56,19/09/2017,8.81
57,20/09/2017,8.9
58,21/09/2017,8.24
59,22/09/2017,8.89
60,25/09/2017,8.95
61,26/09/2017,8.63
62,27/09/2017,8.63
63,28/09/2017,8.63
64,29/09/2017,8.52
65,2/10/2017,8.78
66,3/10/2017,8.79
67,4/10/2017,8.84
68,5/10/2017,8.74
69,6/10/2017,8.88
70,9/10/2017,8.91
71,10/10/2017,9.06
72,11/10/2017,9.43
73,12/10/2017,9.56
74,13/10/2017,9.67
75,16/10/2017,9.6
76,17/10/2017,9.42
77,18/10/2017,9.35
78,19/10/2017,9.38
79,20/10/2017,9.53
80,23/10/2017,9.19
81,24/10/2017,9.39
82,25/10/2017,9.28
83,26/10/2017,9.24
84,27/10/2017,9.31
85,30/10/2017,9.31
86,31/10/2017,9.28
87,1/11/2017,9.26
88,2/11/2017,9.2
89,3/11/2017,9.04
90,6/11/2017,9.03
91,7/11/2017,8.96
92,8/11/2017,9.06
93,9/11/2017,9.02
94,10/11/2017,9.03
95,13/11/2017,8.87
96,14/11/2017,8.92
97,15/11/2017,9
98,16/11/2017,8.99
99,17/11/2017,8.69
100,20/11/2017,9
101,21/11/2017,8.9
102,22/11/2017,8.57
103,23/11/2017,8.8
