Ngày,Mã,TC,Tr?n,Sàn,M?,?óng c?a,Cao,Th?p,Trung,Thay ??i giá,,Kh?i l??ng giao d?ch,,,Giá tr? giao dich (Tri?u VN?),,
,,,,,c?a,,nh?t,nh?t,bình,+/-,%,Kh?p l?nh,Th?a thu?n,T?ng c?ng,Kh?p l?nh,Th?a thu?n,T?ng c?ng
27/11/2017,VCB,47.4,50.7,44.1,47.5,47.9,48.2,46.8,47.7,0.5,1.05,"2,242,960",,"2,242,960","106,994",,"106,994"
24/11/2017,VCB,47.9,51.2,44.55,47.5,47.4,47.7,47,47.26,-0.5,-1.04,"1,363,450","281,000","1,644,450","64,443","13,101","77,544"
23/11/2017,VCB,48,51.3,44.65,48.7,47.9,48.9,46.85,48.13,-0.1,-0.21,"2,666,680","180,250","2,846,930","128,349","8,643","136,992"
22/11/2017,VCB,46.7,49.95,43.45,46.7,48,48.1,46.7,47.61,1.3,2.78,"3,116,060","300,000","3,416,060","148,343","14,298","162,641"
21/11/2017,VCB,45,48.15,41.85,45.3,46.7,47.7,45.2,46.51,1.7,3.78,"3,799,100","151,170","3,950,270","176,703","7,152","183,855"
20/11/2017,VCB,44.4,47.5,41.3,44.4,45,45,44.35,44.63,0.6,1.35,"1,783,000",,"1,783,000","79,581",,"79,581"
17/11/2017,VCB,44.7,47.8,41.6,44.8,44.4,45.15,44.35,44.72,-0.3,-0.67,"2,063,770","350,000","2,413,770","92,290","15,649","107,939"
16/11/2017,VCB,43.6,46.65,40.55,43.75,44.7,44.85,43.6,44.42,1.1,2.52,"2,077,060",,"2,077,060","92,257",,"92,257"
15/11/2017,VCB,43.8,46.85,40.75,43.8,43.6,44.2,43.6,43.84,-0.2,-0.46,"1,304,050",,"1,304,050","57,167",,"57,167"
14/11/2017,VCB,43.4,46.4,40.4,43.5,43.8,44.4,43.35,43.75,0.4,0.92,"3,008,230",,"3,008,230","131,620",,"131,620"
13/11/2017,VCB,43.1,46.1,40.1,43.5,43.4,43.7,43,43.44,0.3,0.7,"2,104,320",,"2,104,320","91,410",,"91,410"
10/11/2017,VCB,43.1,46.1,40.1,43,43.1,43.65,42.8,43.27,,,"2,187,370",,"2,187,370","94,646",,"94,646"
09/11/2017,VCB,43.6,46.65,40.55,43.8,43.1,44,43.1,43.46,-0.5,-1.15,"1,899,000","150,000","2,049,000","82,536","6,519","89,055"
08/11/2017,VCB,42.45,45.4,39.5,42.45,43.6,44,42.2,43.13,1.15,2.71,"2,695,690",,"2,695,690","116,271",,"116,271"
07/11/2017,VCB,42.5,45.45,39.55,42.5,42.45,42.85,42,42.51,-0.05,-0.12,"1,712,940",,"1,712,940","72,812",,"72,812"
06/11/2017,VCB,41.9,44.8,39,42,42.5,42.9,41.8,42.46,0.6,1.43,"2,460,760","27,000","2,487,760","104,487","1,161","105,648"
03/11/2017,VCB,41.1,43.95,38.25,41.4,41.9,41.9,40.8,41.25,0.8,1.95,"1,399,850",,"1,399,850","57,746",,"57,746"
02/11/2017,VCB,41.6,44.5,38.7,41.6,41.1,42.9,41.1,41.92,-0.5,-1.2,"2,341,010","160,000","2,501,010","98,126","6,222","104,348"
01/11/2017,VCB,41.4,44.25,38.55,41.6,41.6,41.85,41.35,41.61,0.2,0.48,"2,149,100",,"2,149,100","89,427",,"89,427"
31/10/2017,VCB,41.9,44.8,39,41.9,41.4,42.1,41.4,41.74,-0.5,-1.19,"1,322,440","869,470","2,191,910","55,197","36,283","91,480"
30/10/2017,VCB,42,44.9,39.1,42.3,41.9,42.95,41.5,42.4,-0.1,-0.24,"3,808,170","213,540","4,021,710","161,484","8,691","170,175"
27/10/2017,VCB,40.6,43.4,37.8,40.6,42,42,40.45,41.11,1.4,3.45,"2,347,090",,"2,347,090","96,482",,"96,482"
26/10/2017,VCB,40.75,43.6,37.9,40.75,40.6,41.25,40.2,40.7,-0.15,-0.37,"1,922,030",,"1,922,030","78,228",,"78,228"
25/10/2017,VCB,40,42.8,37.2,40,40.75,40.8,40,40.34,0.75,1.88,"1,385,130",,"1,385,130","55,876",,"55,876"
24/10/2017,VCB,39.9,42.65,37.15,39.85,40,40.3,39.5,39.91,0.1,0.25,"1,212,060","190,000","1,402,060","48,379","7,980","56,359"
23/10/2017,VCB,40.8,43.65,37.95,40.55,39.9,41.35,39.8,40.7,-0.9,-2.21,"3,568,930",,"3,568,930","145,253",,"145,253"
20/10/2017,VCB,40.5,43.3,37.7,40.55,40.8,41.3,40.45,40.89,0.3,0.74,"2,072,400",,"2,072,400","84,739",,"84,739"
19/10/2017,VCB,40.7,43.5,37.9,40.7,40.5,40.9,40.3,40.58,-0.2,-0.49,"1,482,080",,"1,482,080","60,145",,"60,145"
18/10/2017,VCB,41,43.85,38.15,40.9,40.7,41.4,40.55,40.96,-0.3,-0.73,"3,053,330",,"3,053,330","125,062",,"125,062"
17/10/2017,VCB,39.05,41.75,36.35,39.05,41,41,39,39.83,1.95,4.99,"3,062,770",,"3,062,770","121,997",,"121,997"
16/10/2017,VCB,39.35,42.1,36.6,39.45,39.05,39.5,38.95,39.22,-0.3,-0.76,"1,542,490",,"1,542,490","60,493",,"60,493"
13/10/2017,VCB,39.05,41.75,36.35,39,39.35,39.4,39,39.2,0.3,0.77,"1,784,200",,"1,784,200","69,935",,"69,935"
12/10/2017,VCB,39.35,42.1,36.6,39.35,39.05,39.45,39.05,39.23,-0.3,-0.76,"1,767,480",,"1,767,480","69,335",,"69,335"
11/10/2017,VCB,39.65,42.4,36.9,39.8,39.35,39.9,39.05,39.57,-0.3,-0.76,"2,835,470","290,000","3,125,470","112,204","11,471","123,675"
10/10/2017,VCB,39.4,42.15,36.65,39.4,39.65,39.9,39.2,39.51,0.25,0.63,"2,583,380","200,000","2,783,380","102,072","7,880","109,952"
09/10/2017,VCB,39.05,41.75,36.35,39.35,39.4,39.65,39.15,39.39,0.35,0.9,"2,500,440",,"2,500,440","98,493",,"98,493"
06/10/2017,VCB,38.7,41.4,36,38.7,39.05,39.15,38.65,38.85,0.35,0.9,"2,322,970",,"2,322,970","90,256",,"90,256"
05/10/2017,VCB,38.8,41.5,36.1,39.2,38.7,40,38.7,39.36,-0.1,-0.26,"5,672,370",,"5,672,370","223,246",,"223,246"
04/10/2017,VCB,37.6,40.2,35,37.5,38.8,39,37.5,38.36,1.2,3.19,"4,836,990",,"4,836,990","185,528",,"185,528"
